old_tag,new_tags,count,SURJ Action,SURJ Demo Chapter,SURJ Bay Area,Showing Up for Racial Justice NYC
NYC_Attend_May17_PKSlope,IGNORE,10,,,,
donor,IGNORE,3857,Donor,,,
affiliate group,IGNORE,68,,,,
NYC_Skills_Lobby,IGNORE,12,,,,
NYC_Neighbor_BayRidge,IGNORE,1,,,,
:ChapterMember,IGNORE,163,,,,
nvda_trainee,?Direct Action,16,Training NVDA,,,
bb_august_2015,#Basebuilding,536,,,,
NYC_nationalsignup,IGNORE,2285,,,,
volunteer c4,Volunteer c4,290,,,,
donor_Cleveland,IGNORE,105,Donor Cleveland,,,
PR work,IGNORE,1,,,,
existing sanctuary,IGNORE,16,,,,
NYC_Prisons,#Mass Incarceration,534,,,,
writing interest,IGNORE,33,,,,
Local point person,IGNORE,173,,,,
sign-up-c4,IGNORE,290,,,,
SURJ Action - Phone Bank - Training - 12/7,"?Phone Bank,!Training Phone Bank",880,,,,
NYC_Potlucks,IGNORE,350,,,,
chapter request,IGNORE,24,Chapter Request,,,
endorse_support_oregonians,IGNORE,116,,,,
dec_training_housing_second_night,!Training,1,,,,
petition-ntoa-conference-2016,IGNORE,620,,,,
SURJ Action - Phone Bank - Interest - Fall 2016,!Phone Bank,185,,,,
rural_pwc_fundraiser,"?Fundraising,#Poor Working Class",27,,,,
NYC_Neighbor_Flatbush,IGNORE,4,,,,
NYC_Immigration,#Immigration,519,,,,
NYC_Attend_Dec16_Astoria,IGNORE,20,,,,
host,IGNORE,2,,,,
NYC_Attend_Court_Dec16,IGNORE,15,,,,
NYC_Attend_Jan17_Racism101,IGNORE,27,,,,
SURJ Bay Area - Interest - San Francisco,IGNORE,57,,,,
petition-resist,IGNORE,7,,,,
NYC_Skills_Art,?Art,132,,,,
NYC_Attend_Feb17_PKSlope,IGNORE,19,,,,
NYC_Neighbor_Bedstuy,IGNORE,7,,,,
conference-call-basebuilding-2-23-16,"#Basebuilding,!Conference Call",70,,,,
Donor - Phone Bank,!Phone Bank,193,Donor Phone Bank,,,
NYC_Attend_Garodnick_Dec16,IGNORE,46,,,,
SURJ Bay Area - Cohort 2017-04,IGNORE,79,,,!Study & Action,
white_faith_communities_retreat_2015_rsvp,#Faith,20,,,,
NYC_Attend_Mar17_Prisons,#Mass Incarceration,31,,,,
SURJ Action - Phone Bank - Volunteer - 12/6,!Phone Bank,247,,,,
rural_location,IGNORE,751,Rural Location,,,
NYC_Skills_Language,IGNORE,31,,,,
NYC_Neighbor_Ditmas,IGNORE,1,,,,
fundraiser,?Fundraising,958,,,,
NYC_BB,#Basebuilding,757,,,,
SURJ Action - Phone Bank - Training - 10/17,"?Phone Bank,!Training Phone Bank",1,,,,
NYC_Neighbor_PKSlope,IGNORE,46,,,,
@Demo,IGNORE,8,,,,
faith leaders call 7215,#Faith,662,,,,
SURJ_Trayvon_Action_Kit_responses_-_Groups,IGNORE,123,,,,
UMWSTL 2015,IGNORE,59,,,,
tamir_rice_petition,#Tamir,2945,,,,
Contacted - Phone Convo,IGNORE,737,Contacted - Phone,,,
NCORE 2016,IGNORE,49,,,,
SURJ,IGNORE,117,,,,
SURJ_FacingRace14,IGNORE,96,,,,
SURJ Bay Area - Origin - Action 2017-02,IGNORE,178,,,,
NYCChapter1/17,IGNORE,215,,,,
NYC_Neighbor_Chelsea,IGNORE,2,,,,
SURJ Action - Phone Bank - No Training Needed,?Phone Bank,24,,,,
#Direct Action,#Direct Action,8,,,,
need follow-up,IGNORE,341,,,,
NYC_Attend_Jan17_Canvass,?Canvass,36,,,,
follow-up needed,IGNORE,2,,,,
@SURJ Bay Area - Unsubscribe,IGNORE,1,,,,
Phone Bank - 8/13/16,!Phone Bank,15,,,,
tamir_rice_action_call_11_11,"#Tamir,!Conference Call",143,,,,
trainings,!Training,7,,,,
NYC_Skills_SocialWork,IGNORE,32,,,,
NYC_Neighbor_Boerumhill,IGNORE,1,,,,
monthly_donor,IGNORE,20,Donor Monthly,,,
BLMsignorders,IGNORE,28,,,,
Skills_Art,?Art,1,,,,
green/ 3,IGNORE,8,,,,
SURJ Action - Phone Bank - Volunteer - On Own,!Phone Bank,388,,,,
mid-atlantic,IGNORE,5,,,,
SURJ Bay Area - Interest - Human Billboard,IGNORE,443,,,#Human Billboard,
Contacted - No Response - Phone Bank -12/16,IGNORE,3894,Contacted - No Response,,,
SURJ Bay Area - Event - Intro to SURJ,IGNORE,283,,,!Intro to SURJ,
SURJ Bay Area - Interest - Mobilization,#Mobilization,120,,,,
website,?Web Design,6,,,,
Student,:Student,1520,,,,
Multiple Volunteer Roles,?Volunteer,301,,,,
test,IGNORE,3,,,,
?Food,?Food,1,,,,
#SURJ National Conference Call,!Conference Call,6,,,,
2017_inauguration,#Trump,6657,,,,
petition-trump-buffalo,"#Trump,?Petition",9,,,,
outreach,IGNORE,45,,,,
NYC_Neighbor_Sunnyside,IGNORE,5,,,,
NYC_Neighbor_Astoria,IGNORE,27,,,,
?Child Care,?Child Care,2,,,,
Baltimore,IGNORE,21,,,,
chapter_training_2015_rsvp,!Training,41,,,,
National - Origin - Website,IGNORE,11064,,,,
SURJ Bay Area - Committee - Basebuilding,#Basebuilding,2,,,,
:Chapter_NB_Request,IGNORE,1,,,,
NYC_Attend_Mar17_Data,IGNORE,11,,,,
SURJ Bay Area - Origin - Import 2016-09,IGNORE,2189,,,,
Islamophobia-training-616,"#Islamaphobia,!Training",78,,,,
NYC_Attend_Feb17_BYP100,IGNORE,134,,,,
NYC_CallingIn,!Conference Call,624,,,,
rural,IGNORE,3,Rural Location,,,
Oakland,IGNORE,23,,,,
NYC_Skills_DA,?Direct Action,25,,,,
#Study_Action,IGNORE,1,,,!Study & Action,
#StopUrbanShield,IGNORE,1,,,#Urban Shield,
SURJ Bay Area - Petition - No Hate in Berkeley,#White Supremacy,1,,,,
#White Supremacy,#White Supremacy,1,,,,
@Bay Area_ house party,IGNORE,1,,,!House Party,
@SURJ Bay Area_ house party,IGNORE,1,,,!House Party,
@SURJ Bay Area - All Committee Meeting,IGNORE,,,,,
SURJ BAY,IGNORE,,,,,
SURJ Bay Area - Import - Marin,IGNORE,,,,,
Direct Action Training,IGNORE,,,,!Training Direct Action,
surjbayarea,IGNORE,,,,,
